frame: 0, time: 0, x: 0
frame: 360, time: 6, x: -0.279415
frame: 361, time: 6.01667, x: -0.263375
frame: 362, time: 6.03333, x: -0.247261
frame: 363, time: 6.05, x: -0.231078
frame: 364, time: 6.06667, x: -0.214831
frame: 365, time: 6.08333, x: -0.198524
frame: 366, time: 6.1, x: -0.182163
frame: 367, time: 6.11667, x: -0.16575
frame: 368, time: 6.13333, x: -0.149292
frame: 369, time: 6.15, x: -0.132792
frame: 370, time: 6.16667, x: -0.116255
frame: 371, time: 6.18333, x: -0.0996861
frame: 372, time: 6.2, x: -0.0830894
frame: 373, time: 6.21667, x: -0.0664696
frame: 374, time: 6.23333, x: -0.0498313
frame: 375, time: 6.25, x: -0.0331792
frame: 376, time: 6.26667, x: -0.0165179
frame: 377, time: 6.28333, x: 0.000148026
frame: 378, time: 6.3, x: 0.0168139
frame: 379, time: 6.31667, x: 0.0334751
frame: 380, time: 6.33333, x: 0.050127
frame: 381, time: 6.35, x: 0.066765
frame: 382, time: 6.36667, x: 0.0833844
frame: 383, time: 6.38333, x: 0.0999807
frame: 384, time: 6.4, x: 0.116549
frame: 385, time: 6.41667, x: 0.133085
frame: 386, time: 6.43333, x: 0.149584
frame: 387, time: 6.45, x: 0.166042
frame: 388, time: 6.46667, x: 0.182454
frame: 389, time: 6.48333, x: 0.198814
frame: 390, time: 6.5, x: 0.21512
frame: 391, time: 6.51667, x: 0.231366
frame: 392, time: 6.53333, x: 0.247547
frame: 393, time: 6.55, x: 0.26366
frame: 394, time: 6.56667, x: 0.2797
frame: 395, time: 6.58333, x: 0.295662
frame: 396, time: 6.6, x: 0.311541
frame: 397, time: 6.61667, x: 0.327335
frame: 398, time: 6.63333, x: 0.343037
frame: 399, time: 6.65, x: 0.358644
frame: 400, time: 6.66667, x: 0.374151
frame: 401, time: 6.68333, x: 0.389555
frame: 402, time: 6.7, x: 0.40485
frame: 403, time: 6.71667, x: 0.420033
frame: 404, time: 6.73333, x: 0.435099
frame: 405, time: 6.75, x: 0.450044
frame: 406, time: 6.76667, x: 0.464864
frame: 407, time: 6.78333, x: 0.479555
frame: 408, time: 6.8, x: 0.494113
frame: 409, time: 6.81667, x: 0.508534
frame: 410, time: 6.83333, x: 0.522813
frame: 411, time: 6.85, x: 0.536948
frame: 412, time: 6.86667, x: 0.550933
frame: 413, time: 6.88333, x: 0.564765
frame: 414, time: 6.9, x: 0.57844
frame: 415, time: 6.91667, x: 0.591954
frame: 416, time: 6.93333, x: 0.605304
frame: 417, time: 6.95, x: 0.618486
frame: 418, time: 6.96667, x: 0.631496
frame: 419, time: 6.98333, x: 0.644331
frame: 420, time: 7, x: 0.656987
frame: 421, time: 7.01667, x: 0.66946
frame: 422, time: 7.03333, x: 0.681747
frame: 423, time: 7.05, x: 0.693845
frame: 424, time: 7.06667, x: 0.70575
frame: 425, time: 7.08333, x: 0.717459
frame: 426, time: 7.1, x: 0.728969
